time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-06-15,21.9,16.3,27.5,0.0,,11.0,9.7,31.5,1011.6,
2023-06-16,23.9,16.2,27.8,0.0,,1.0,11.4,35.2,1010.9,
2023-06-17,22.7,15.5,28.9,0.0,,28.0,10.2,35.2,1009.3,
2023-06-18,22.6,14.7,28.6,0.0,,36.0,7.7,33.3,1012.3,
2023-06-19,21.2,14.8,26.7,0.0,,68.0,6.7,29.6,1015.5,
2023-06-20,22.1,14.0,29.3,0.2,,274.0,6.1,27.8,1014.2,
2023-06-21,23.5,17.3,28.5,0.6,,346.0,7.4,29.6,1014.9,
2023-06-22,22.0,13.7,27.8,0.0,,140.0,4.8,20.4,1019.7,
2023-06-23,23.6,18.4,30.6,7.7,,206.0,10.0,37.0,1015.4,
2023-06-24,26.0,19.5,30.7,0.0,,288.0,6.3,31.5,1012.1,
2023-06-25,23.2,19.7,27.4,0.0,,38.0,7.5,25.9,1011.5,
2023-06-26,16.2,15.1,17.7,5.6,,67.0,11.4,35.2,1008.0,
2023-06-27,16.9,14.8,19.5,5.8,,265.0,8.6,33.3,1004.9,
2023-06-28,17.1,13.1,20.7,0.8,,190.0,6.6,25.9,1007.8,
2023-06-29,19.4,15.3,23.7,0.5,,198.0,12.0,38.9,1006.1,
2023-06-30,18.9,16.2,22.8,0.0,,256.0,13.2,40.8,1002.1,
2023-07-01,21.2,13.7,27.6,0.0,,273.0,11.0,37.0,1005.0,
2023-07-02,24.1,19.5,30.5,0.6,,239.0,8.0,33.3,1006.6,
2023-07-03,24.0,20.0,29.3,12.4,,257.0,7.0,27.8,1010.1,
2023-07-04,25.0,18.7,31.0,1.7,,4.0,4.6,20.4,1015.1,
2023-07-05,25.3,19.7,31.9,0.1,,54.0,7.0,22.2,1016.3,
2023-07-06,27.0,21.7,31.9,0.0,,69.0,10.7,31.5,1015.6,
2023-07-07,29.1,23.1,34.2,0.0,,67.0,9.2,31.5,1013.0,
2023-07-08,22.9,20.4,29.3,19.1,,22.0,12.7,31.5,1008.6,
2023-07-09,19.3,18.4,20.4,31.0,,325.0,15.1,40.8,1006.6,
2023-07-10,19.7,15.9,25.5,1.7,,299.0,12.3,38.9,1008.5,
2023-07-11,19.1,15.2,23.3,1.1,,300.0,9.4,35.2,1010.1,
2023-07-12,18.1,14.1,22.1,0.0,,287.0,8.0,35.2,1013.6,
2023-07-13,20.7,13.6,27.5,0.3,,230.0,10.0,37.0,1014.2,
2023-07-14,20.9,19.0,26.7,12.2,,231.0,9.2,33.3,1009.0,
2023-07-15,21.5,17.2,26.5,0.2,,290.0,12.9,42.6,1012.7,
2023-07-16,21.2,15.4,26.6,0.3,,297.0,8.8,35.2,1016.3,
2023-07-17,22.8,16.5,28.7,0.0,,297.0,7.9,29.6,1016.6,
2023-07-18,22.9,16.4,30.5,2.7,,253.0,8.2,31.5,1012.4,
2023-07-19,20.3,14.9,24.6,0.0,,278.0,10.1,38.9,1010.8,
2023-07-20,21.6,15.2,28.1,0.0,,226.0,6.3,25.9,1009.8,
2023-07-21,22.0,19.0,25.7,0.3,,266.0,10.3,37.0,1009.3,
2023-07-22,20.4,15.2,26.1,0.8,,281.0,6.2,24.1,1015.0,
2023-07-23,21.0,16.3,26.3,1.4,,10.0,8.9,27.8,1012.0,
2023-07-24,20.8,14.9,25.8,0.0,,281.0,6.0,25.9,1013.4,
2023-07-25,23.1,15.8,30.2,0.0,,178.0,11.0,35.2,1009.7,
2023-07-26,26.2,20.5,31.9,0.2,,163.0,15.4,46.3,1005.6,
2023-07-27,26.0,21.3,33.8,19.0,,140.0,11.5,38.9,1003.7,
2023-07-28,19.5,18.3,25.0,41.9,,341.0,10.1,37.0,1001.5,
2023-07-29,21.1,16.5,25.3,0.0,,280.0,16.6,44.5,1007.1,
2023-07-30,21.7,16.9,27.1,0.0,,282.0,6.6,29.6,1010.6,
2023-07-31,20.2,17.6,27.7,4.4,,123.0,5.5,27.8,1010.6,
2023-08-01,23.5,18.2,30.7,7.2,,75.0,3.5,20.4,1010.3,
2023-08-02,23.8,18.4,30.0,0.1,,90.0,4.9,24.1,1008.4,
2023-08-03,24.2,19.9,30.6,0.6,,200.0,4.3,24.1,1009.2,
2023-08-04,24.6,18.8,30.3,0.0,,292.0,4.5,24.1,1014.6,
2023-08-05,26.5,18.4,32.4,0.0,,56.0,6.3,27.8,1017.3,
2023-08-06,29.0,22.0,35.7,0.0,,74.0,14.0,46.3,1012.1,
2023-08-07,28.4,23.6,35.5,8.8,,125.0,16.7,46.3,1004.5,
2023-08-08,22.4,18.3,27.2,0.0,,309.0,9.1,27.8,1011.1,
2023-08-09,21.3,17.7,25.9,1.7,,325.0,9.1,27.8,1015.3,
